Year	Author	Title	Data Collected	Neural Network	Task	Publication Name	Volume	Issue	Pages	DOI	Url	Abstract																				
1996	"Gong, Peng; Pu, Ruiliang; Yu, Bin"	Conifer species recognition: An exploratory analysis of in situ hyperspectral data	Other	DNN	Classification	Remote Sensing of Environment	62	2	189-200	10.1016/S0034-4257(97)00094-1	https://www.sciencedirect.com/science/article/pii/S0034425797000941	In situ hyperspectral data measured above sunlit and shaded sides of canopies using a high spectral resolution radiometer were analyzed for identification of six conifer tree species. An artificial neural network algorithm was assessed for the identification purpose. Linear discrimination analysis was compared with the neural network algorithm. The hyperspectral with the neural data were further processed to smoothed reflectance and first derivative spectra and were separately used in tree species identification. Tree species recognition with data collected front six study sites was tested in seven experiments. The average accuracy of species recognition was obtained at every site. The overall performance of the neural network algorithm was better than that of linear discriminant analysis for species recognition when the same number of training samples and test samples were used. The discriminant analysis produced better accuracy than neural network at one site where many samples (10) were taken from six individual trees. Use of the average spectra of all samples for a particular tree species in training may not result in higher accuracy than use of individual spectral samples in training. Use of sunlit samples alone resulted in an overall accuracy of greater than 91%. The effects of site background including illuminating conditions on tree species specra were large. Neural networks are sensitive to subtle spectral details and can be trained to separate samples front the same species at different sites. Our experiments indicate that the discriminating power of visible bands is stronger than that of near-infrared bands. Higher recognition accuracies can be obtained in the blue to green or the red-edge spectral region as compared with four other spectral regions. A smaller set of selected bands can generate more accurate identification than all spectral bands.																				
1996	"Simmonds, John E.; Armstrong, F.; Copland, Philip J."	Species identification using wideband backscatter with neural network and discriminant analysis	Other	DNN	Classification	ICES Journal of Marine Science	53	2	189-195	10.1006/jmsc.1996.0021	https://doi.org/10.1006/jmsc.1996.0021	"The paper reports the results of species-recognition-rate measurements on caged aggregations of mackerel, horse mackerel, saithe, haddock, and two sizes of cod. Data on the acoustic backscattering coefficients were collected in eight contiguous bandwidth intervals covering the frequency band between 27 and 54 kHz. The measurements were made during two to six periods of 24 h for each aggregation of fish. Replicate experiments were carried out for mackerel, horse mackerel, and two sizes of cod. The data were processed to give average frequency spectra. The number of independent observations used to establish the mean was varied to examine the species-recognition dependence on the number of independent observations. The mean spectra were analysed using two recognition methods: neural network and discriminant analysis. A neural network was trained on subsets of the data and recognition rates established for the different numbers of samples used to calculate the mean spectra. Classical discriminant analysis was applied using the same data sets. The results of the two identification methods are presented and show that recognition rates of about 95% are possible using average spectra. The differing recognition rates by species and fish sizes are discussed and the two identification methods compared. Implications for the future development of these methods are considered."																				
1996	"Wilkins, Malcom F.; Boddy, Lynne; Morris, Colin W.; Jonker, Richard"	A comparison of some neural and non-neural methods for identification of phytoplankton from flow cytomery data	Other	"DNN, Other"	Classification	Bioinformatics	12	1	18-Sep	10.1093/bioinformatics/12.1.9	https://doi.org/10.1093/bioinformatics/12.1.9	"Four artifcial neural network paradigms (multilaver perceptron networks, learning vector quantization networks, and radial and asymmetric basis function networks) and two statistical methods (parametric statistical classification by modelling each class with Gaussian distributions, and non-parametric density estimation via the K-nearest neighbour method) were compared for their ability to identify seven freshwater and five marine phytoplankton species from flow cytometric data. Kohonen self-organizing maps were also used to examine similarities between species. Optimized networks and statistical methods performed similarly, correctly identifying between 86.8% and 90.1% of data from freshwater species, and between 81.3% and 84.1% of data from marine species. Choice of identification technique must therefore be made on the basis of other criteria. We highlight the way each method partitions the data space and thereby separates the data clusters, and discuss the relative merits of each with reference to complexity of data boundaries, training time, analysis time and behaviour when presented with ‘novel’ data."																				
1997	"Baran, Philippe; Lek, Sovan; Delacoste, Marc; Belaud, Alain"	Stochastic models that predict trout population density or biomass on a mesohabitat scale	Environmental	DNN	Regression	Hydrobiologia	337	1	9-Jan	10.1007/BF00028502	https://link.springer.com/article/10.1007/BF00028502	"Neural networks and multiple linear regression models of the abundance of brown trout (Salmo trutta L.) on the mesohabitat scale were developed from combinations of physical habitat variables in 220 channel morphodynamic units (pools, riffles, runs, etc.) of 11 different streams in the central Pyrenean mountains. For all the 220 morphodynamic units, the determination coefficients obtained between the estimated and observed values of density or biomass were significantly higher for the neural network (r2 adjusted= 0.93 and r2 adjusted=0.92 (p<0.01) for biomass and density respectively with the neural network, against r2 adjusted=0.69 (p<0.01) and r2 adjusted = 0.54 (p<0.01) with multiple linear regression). Validation of the multivariate models and learning of the neural network developed from 165 randomly chosen channel morphodynamic units, was tested on the 55 other channel morphodynamic units. This showed that the biomass and density estimated by both methods were significantly related to the observed biomass and density. Determination coefficients were significantly higher for the neural network (r2 adjusted =0.72 (p<0.01) and 0.81 (p<0.01) for biomass and density respectively) than for the multiple regression model (r2 adjusted=0.59 and r2 adjusted=0.37 for biomass and density respectively). The present study shows the advantages of the backpropagation procedure with neural networks over multiple linear regression analysis, at least in the field of stochastic salmonid ecology."																				
1997	"Dopazo, Joaquín; Wang, Huaichun; Carazo, José María"	A new type of unsupervised growing neural network for biological sequence classification that adopts the topology of a phylogenetic tree	Molecular	Other	Modeling	Biological and Artificial Computation: From Neuroscience to Technology			932-941	10.1007/BFb0032553	https://link.springer.com/chapter/10.1007/BFb0032553	"We propose a new type of unsupervised growing self-organizing neural network that expands itself following the taxonomic relationships existing among the sequences being classified. The binary tree topology of this neural network, opposite to other more classical neural network topologies, permits an efficient classification of sequences. The growing nature of this procedure allows to stop it at the desired taxonomic level without the necessity of waiting until a complete phylogenetic tree is produced. This novel approach presents a number of other interesting properties, such as a time for convergence which is, approximately, a lineal function of the number of sequences. Computer simulation and a real example shows that the algorithm accurately finds the phylogenetic tree that relates the data. All this makes of the neural network presented here an excellent tool for the phylogenetic analysis of large number of sequences."																				
1997	"Mastrorillo, Sylvain; Lek, Sovan; Dauba, Francis"	Predicting the abundance of minnow Phoxinus phoxinus (Cyprinidae) in the River Ariège (France) using artificial neural networks	Environmental	DNN	Regression	Aquatic Living Resources	10	3	169-176	10.1051/alr:1997018	https://www.alr-journal.org/articles/alr/abs/1997/03/alr97305/alr97305.html	"The study of abundance of small-bodied species of fish such as minnow is important because these species play an important role in the food-web dynamics of small streams. In this work, we propose the use of an Artificial Neural Network (ANN) to the modelling and prediction of abundance in minnow Phoxinus phoxinus using 10 environmental microhabitat variables: distance from the bank, percentage of boulders, pebbles, gravel, sand, mud, marl, cover respectively, depth and velocity. A total of 372 points were randomly chosen from a total of 465 electrofished point samples to establish a ANN model. A validation holdout of the training of the ANN was undertaken with testing on 93 other sampling points. On the test set, the prediction performance was 92%. Our study showed the advantages of the back-propagation procedure of the neural network in the field of stochastic approaches to ecology of coarse fishes. The limitations of the neural network approaches as well as statistical and ecological perspectives are discussed."																				
1997	"Wu, Cathy H."	Artificial neural networks for molecular sequence analysis	NA	NA	Review	Computers & Chemistry	21	4	237-256	10.1016/S0097-8485(96)00038-1	https://www.sciencedirect.com/science/article/pii/S0097848596000381	"Artificial neural networks provide a unique computing architecture whose potential has attracted interest from researchers across different disciplines. As a technique for computational analysis, neural network technology is very well suited for the analysis of molecular sequence data. It has been applied successfully to a variety of problems, ranging from gene identification, to protein structure prediction and sequence classification. This article provides an overview of major neural network paradigms, discusses design issues, and reviews current applications in DNA/RNA and protein sequence analysis."																				
1997	"Zakharia, Manell E.; Magand, François; Hetroit, François; Diner, Noël"	Wideband sounder for fish species identification at sea	Sound	DNN	Classification	ICES Journal of Marine Science	53	2	203-208	10.1006/jmsc.1996.0023	https://doi.org/10.1006/jmsc.1996.0023	"A brief description is given of both a wideband echo-sounder and data acquisition at sea. Experiments were conducted in the Bay of Biscay at various seasons for four years. Fish species were identified by trawling. Only echoes associated with trawl catches that were monospecific were used in the classification analyses. Species discrimination was based only on the spectral signature of the echoes and did not take into account the characteristics of the school shape. A modelling of the power spectrum of the echo was used to limit the spectral signature to a reduced set of parameters that could be used for classification using a neural network. Thirty-six different monospecific schools, including about 900 echoes, were processed. Three species were considered: sardine (Sardina pilchardus), anchovy (Engraulis encrasicolus), and horse mackerel (Trachurus trachurus). Classification performance had a success rate as high as 75%."																				
1998	"Clark, Jonathan Y.; Warwick, Kevin"	Artificial Keys for Botanical Identification using a Multilayer Perceptron Neural Network (MLP)	Other	Unknown	Classification	Artificial Intelligence for Biology and Agriculture			95-115	10.1007/978-94-011-5048-4_5	https://doi.org/10.1007/978-94-011-5048-4_5	"In this paper, practical generation of identification keys for biological taxa using a multilayer perceptron neural network is described. Unlike conventional expert systems, this method does not require an expert for key generation, but is merely based on recordings of observed character states. Like a human taxonomist, its judgement is based on experience, and it is therefore capable of generalized identification of taxa. An initial study involving identification of three species of Iris with greater than 90% confidence is presented here. In addition, the horticulturally significant genus Lithops (Aizoaceae/Mesembryanthemaceae), popular with enthusiasts of succulent plants, is used as a more practical example, because of the difficulty of generation of a conventional key to species, and the existence of a relatively recent monograph. It is demonstrated that such an Artificial Neural Network Key (ANNKEY) can identify more than half (52.9%) of the species in this genus, after training with representative data, even though data for one character is completely missing."																				
1998	"Goodacre, Royston; Timmins, Eadaoin M.; Rooney, Paul J.; Rowland, Jem J.; Kell, Douglas B."	Rapid identification of Streptococcus and Enterococcus species using diffuse reflectance-absorbance Fourier transform infrared spectroscopy and artificial neural networks	Other	DNN	Classification	FEMS Microbiology Letters	140	3-Feb	233-239	10.1111/j.1574-6968.1996.tb08342.x	https://academic.oup.com/femsle/article/140/2-3/233/566856	"Diffuse reflectance-absorbance Fourier transform infrared spectroscopy (FT-IR) was used to analyse 19 hospital isolates which had been identified by conventional means to one of Enterococcus faecalis, E. faecium, Streptococcus bovis, S. mitis, S. pneumoniae, or S. pyogenes. Principal components analysis of the FT-IR spectra showed that this ‘unsupervised’ learning method failed to form six separable clusters (one for each species) and thus could not be used to identify these bacteria based on their FT-IR spectra. By contrast, artificial neural networks (ANNs) could be trained by ‘supervised’ learning (using the back-propagation algorithm) with the principal components scores of derivatised spectra to recognise the strains from their FT-IR spectra. These results demonstrate that the combination of FT-IR and ANNs provides a rapid, novel and accurate bacterial identification technique."																				
1998	"Guégan, Jean-François; Lek, Sovan; Oberdorff, Thierry"	Energy availability and habitat heterogeneity predict global riverine fish diversity	Environmental	DNN	Regression	Nature	391	6665	382-384	10.1038/34899	https://www.nature.com/articles/34899	"Processes governing patterns of richness of riverine fish species at the global level can be modelled using artificial neural network (ANN) procedures. These ANNs are the most recent development in computer-aided identification and are very different from conventional techniques1,2. Here we use the potential of ANNs to deal with some of the persistent fuzzy and nonlinear problems that confound classical statistical methods for species diversity prediction. We show that riverine fish diversity patterns on a global scale can be successfully predicted by geographical patterns in local river conditions. Nonlinear relationships, fitted by ANN methods, adequately describe the data, with up to 93 per cent of the total variation in species richness being explained by our results. These findings highlight the dominant effect of energy availability and habitat heterogeneity on patterns of global fish diversity. Our results reinforce the species-energy theory3 and contrast with those from a recent study on North American mammal species4, but, more interestingly, they demonstrate the applicability of ANN methods in ecology."																				
1998	"Jordan, R.; Feeney, F.; Nesbitt, N.; Evertsen, J. A."	Classification of wood species by neural network analysis of ultrasonic signals	Sound	DNN	Classification	Ultrasonics	36	1	219-222	10.1016/S0041-624X(97)00148-0	https://www.sciencedirect.com/science/article/pii/S0041624X97001480	The passage of ultrasonic waves through an anisotropic inhomogeneous material such as wood involves complex interactions between the physical vibrations of the ultrasound and the elastic response of the wood. The initial ultrasound signal is modified by the transmission medium in a way characteristic of the elastic anisotropy of the medium. The many species of wood have subtly different elastic responses. In this work the characteristic signals formed by these responses is examined. A neural network system is used to classify these signals in terms of species. The neural network is shown to have a high success rate in identifying wood species from the ultrasonic trace. It is established that this identification is not possible using wave velocity or received signal amplitudes. The most appropriate propagation direction for species identification is also considered.																				
1999	"Dopazo, Joaquín; Carazo, José María"	Phylogenetic Reconstruction Using an Unsupervised Growing Neural Network That Adopts the Topology of a Phylogenetic Tree	Molecular	Other	Modeling	Journal of Molecular Evolution	44	2	226-233	10.1007/PL00006139	https://doi.org/10.1007/PL00006139	"We propose a new type of unsupervised, growing, self-organizing neural network that expands itself by following the taxonomic relationships that exist among the sequences being classified. The binary tree topology of this neutral network, contrary to other more classical neural network topologies, permits an efficient classification of sequences. The growing nature of this procedure allows to stop it at the desired taxonomic level without the necessity of waiting until a complete phylogenetic tree is produced. This novel approach presents a number of other interesting properties, such as a time for convergence which is, approximately, a lineal function of the number of sequences. Computer simulation and a real example show that the algorithm accurately finds the phylogenetic tree that relates the data. All this makes the neural network presented here an excellent tool for phylogenetic analysis of a large number of sequences."																				
1999	"Goodacre, Royston; Timmins, Éadaoin M; Burton, Rebecca; Kaderbhai, Naheed; Woodward, Andrew M.; Kell, Douglas B.; Rooney, Paul J.YR 1998"	Rapid identification of urinary tract infection bacteria using hyperspectral whole-organism fingerprinting and artificial neural networks	Other	DNN	Classification	Microbiology	144	5	1157-1170	10.1099/00221287-144-5-1157	https://www.microbiologyresearch.org/content/journal/micro/10.1099/00221287-144-5-1157	"Three rapid spectroscopic approaches for whole-organism fingerprinting-pyrolysis mass spectrometry (PyMS), Fourier transform infra-red spectroscopy (FT-IR) and dispersive Raman microscopy - were used to analyse a group of 59 clinical bacterial isolates associated with urinary tract infection. Direct visual analysis of these spectra was not possible, highlighting the need to use methods to reduce the dimensionality of these hyperspectral data. The unsupervised methods of discriminant function and hierarchical cluster analyses were employed to group these organisms based on their spectral fingerprints, but none produced wholly satisfactory groupings which were characteristic for each of the five bacterial types. In contrast, for PyMS and FT-IR, the artificial neural network (ANN) approaches exploiting multi-layer perceptrons or radial basis functions could be trained with representative spectra of the five bacterial groups so that isolates from clinical bacteriuria in an independent unseen test set could be correctly identified. Comparable ANNs trained with Raman spectra correctly identified some 80% of the same test set. PyMS and FT-IR have often been exploited within microbial systematics, but these are believed to be the first published data showing the ability of dispersive Raman microscopy to discriminate clinically significant intact bacterial species. These results demonstrate that modern analytical spectroscopies of high intrinsic dimensionality can provide rapid accurate microbial characterization techniques, but only when combined with appropriate chemometrics.,"																				
1999	"Gozlan, R. E.; Mastrorillo, S.; Copp, G. H.; Lek, S."	Predicting the structure and diversity of young-of-the-year fish assemblages in large rivers	Environmental	DNN	Regression	Freshwater Biology	41	4	809-820	10.1046/j.1365-2427.1999.00423.x	https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2427.1999.00423.x	"1. Interactions between environmental variables and 0+ fish assemblages in the upper River Garonne (France) were quantified during late August 1995. 2. The abundance and diversity of the fish assemblages in floodplain channels were modelled using Artificial Neural Network (ANN) analysis and nine variables: the abundance of the six dominant species, fish specific richness, overall abundance of 0+ fish and the Shannon index of diversity. Multiple regression analysis was also used to assess ANN performance. 3. Using 596 samples, correlation coefficients (r adjusted) between observed and estimated values of the nine dependent parameters were all highly significant (P < 0.01). Expected values from the tested data were significantly related to the observed values. The correlation coefficient between observed and estimated values (r) varied from 0.70 to 0.85. 4. The ANN provided a high quality prediction, despite the complex nature of the relationship between microhabitat composition and fish abundance. 5. Garson’s algorithm was used to provide the explanatory power needed in ecology when using black-box models. Parameters contained in the models (i.e. weighting) were used to determine the relative contributions of explanatory variables and thus to ascertain the structure of fish communities."																				
1999	"Holmgren, Noél M. A.; Enquist, Magnus"	Dynamics of mimicry evolution	Other	DNN	Modeling	Biological Journal of the Linnéan Society	66		145–158	10.1111/j.1095-8312.1999.tb01880.x	https://academic.oup.com/biolinnean/article/66/2/145/2661309	"We simulated mimicry evolution by allowing three populations to coevolve: two populations of senders and one of receivers. Artificial neural networks were used to model receivers, and it was assumed that recognition was inherited. The senders ’ signals consisted of nine dimensions. Changes to receivers and senders were caused by random mutations during the course of the simulation. Whereas it paid both types of senders to elicit the same response from the receiver, it benefited the receiver to respond in this way only towards one of the sender types. The receiver was thus in conflict with one of the senders, e.g. as in Batesian mimicry. Monotonically increasing response gradients caused the appearance of the model and the mimic to move in the same direction. Mimicry evolved because the mimic approached the model faster than the model moved away. Even after mimicry was established the model and the mimic were constantly changing in appearance. Our results conform with what is known in comparative psychology and ethology about how animals respond to stimuli. Several of our results are a direct consequence of recognition and have not, to our knowledge, been reported before, showing the importance of considering the recognition mechanism in"																				
1999	"Huse, Geir; Strand, Espen; Giske, Jarl"	Implementing behaviour in individual-based models using neural networks and genetic algorithms	Other	DNN	Modeling	Evolutionary Ecology	13	5	469-483	10.1023/A:1006746727151	https://link.springer.com/article/10.1023/A:1006746727151	"Even though individual-based models (IBMs) have become very popular in ecology during the last decade, there have been few attempts to implement behavioural aspects in IBMs. This is partly due to lack of appropriate techniques. Behavioural and life history aspects can be implemented in IBMs through adaptive models based on genetic algorithms and neural networks (individual-based-neural network-genetic algorithm, ING). To investigate the precision of the adaptation process, we present three cases where solutions can be found by optimisation. These cases include a state-dependent patch selection problem, a simple game between predators and prey, and a more complex vertical migration scenario for a planktivorous fish. In all cases, the optimal solution is calculated and compared with the solution achieved using ING. The results show that the ING method finds optimal or close to optimal solutions for the problems presented. In addition it has a wider range of potential application areas than conventional techniques in behavioural modelling. Especially the method is well suited for complex problems where other methods fail to provide answers."																				
